Datum,text
2017-01-19 04:08:21,"05:08 Bánovce nad Bebravou, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:21,"05:08 Tvrdošín, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:18,"05:08 Žarnovica, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:18,"05:08 Ilava, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:17,"05:08 Kysucké Nové Mesto, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:16,"05:08 Banská Štiavnica, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:14,"05:08 Turčianske Teplice, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:14,"05:08 Poltár, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:08:14,"05:08 Revúca, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:07:57,"05:07 Detva, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:07:49,"05:07 Levoča, Prešovský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:07:48,"05:07 Kežmarok, Prešovský - nepriaznivé počasie - extrémne mrazy"
2017-01-19 04:06:18,"05:06 Od  Kraľovany, okres Dolný Kubín, do  Ratkovo, okres Martin - zasnežená vozovka"
2017-01-19 04:04:11,"05:04 Čremošné, okres Turčianske Teplice - nehoda, nehoda nákladného vozidla"
2017-01-18 22:40:05,"23:40 Čremošné, okres Turčianske Teplice - nehoda - skrížená jazdná súprava"
2017-01-18 22:21:41,"23:21 Levice, Nitriansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:20:38,"23:20 Žilina, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:20:06,"23:20 Rimavská Sobota, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:20:05,"23:20 Nitra, Nitriansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:19:31,"23:19 Banská Bystrica, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:19:14,"23:19 Martin, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:19:08,"23:19 Žiar nad Hronom, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:19:07,"23:19 Lučenec, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:56,"23:18 Čadca, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:56,"23:18 Trenčín, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:52,"23:18 Zvolen, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:52,"23:18 Myjava, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:48,"23:18 Liptovský Mikuláš, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:42,"23:18 Zlaté Moravce, Nitriansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:41,"23:18 Prievidza, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:39,"23:18 Ružomberok, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:32,"23:18 Veľký Krtíš, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:28,"23:18 Púchov, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:27,"23:18 Spišská Nová Ves, Košický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:24,"23:18 Bardejov, Prešovský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:22,"23:18 Nové Mesto nad Váhom, Trenčiansky - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:20,"23:18 Poprad, Prešovský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:19,"23:18 Tvrdošín, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:19,"23:18 Gelnica, Košický - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:08,"23:18 Námestovo, Žilinský - nepriaznivé počasie - extrémne mrazy"
2017-01-18 22:18:06,"23:18 Žarnovica, Banskobystrický - nepriaznivé počasie - extrémne mrazy"
